ItemID,Sentiment,SentimentText
1,0,Kenya to invest KES 6bn in proposed Uganda refinery..http://t.co/gOVqmxcLgt http://t.co/H7LPIF9dJ3
2,0,Treasury projects public debt load of KES 2.2trn by June...http://t.co/0kXpyKGwft http://t.co/e8KuHPVsxJ
3,1,Uchumi opens two units in Dar es Salaam....http://t.co/I0DubHpAo2 http://t.co/5J0SOKrCQD
4,0,"Bamburi, Joho sign KES 4.8bn power deal...http://t.co/jhPA5Lqwnu http://t.co/0ywJxXSsqC"
5,0,Kwale miner targets second export batch....http://t.co/tNCS95945F http://t.co/aXVPD04XST
6,0,Migori gold firm tables exit option as loss hurts group....http://t.co/TdE7LIe9We http://t.co/ZrH5RYWuAT
7,1,NIC taps Ecobank finance chief as it ups Tanzania stake......http://t.co/GtjkPL50xB http://t.co/e3HmlBxGHD
8,0,UAP to reveal Nairobi bourse listing plans next month....http://t.co/rE3CowziTo http://t.co/t0nnbONsBS
9,1,Housing Finance to borrow after sovereign bond.....http://t.co/S7iJCtvYCP http://t.co/d3kpsmdxfM
10,1,Swedish investors have eye on Africa’s ICT industry.....http://t.co/acJBgzMjri http://t.co/W2wdMoPjgZ
11,0,Rwanda Plans to Woo Outside Investors with Longer-Dated Bonds.....http://t.co/GjPSLgu3KR
12,1,Consortium to build large solar field in Rwanda.....http://t.co/y37igLCN6T
13,0,"Statoil, BG to Build Tanzania LNG Plant in Lindi, Minister Says.....http://t.co/RxBJ5PiqDp"
14,0,UDA unveils plans to list in Dar bourse as it seeks capital...http://t.co/rseUzHXFhr
15,0,EU plans fresh trade talks with Kenya month-end....http://t.co/W0EXj0iMg2
16,0,Kenya Interbank Rate Falls to 2-Month Low as Counties Get Cash....http://t.co/noj1FWOezl
17,0,Global financiers call on Nairobi ahead of Eurobond...http://t.co/j9ae531WhN
18,1,KES100mn deal to finance low cost housing...http://t.co/cL3jFjbi9b
19,0,Manufacturers lead in share price declines at the NSE .....http://t.co/Ap6JfK8590
20,0,Al-Futtaim Buyout Nets Over 75% CMC Shares ...http://t.co/4Pz7DxJp6G
21,0,Eastern Africa Newsletter 2013 Review..http://t.co/BQVByp8X7z
22,0,Smart money is on East African growth..http://t.co/6lyog4mDd7
23,1,SA business shows renewed interest in Kenya...http://t.co/WyUezydZ2f
24,0,Five to list on Rwanda exchange...http://t.co/wvn5M4qiFB http://t.co/y0XvlUiinO
25,0,Rwanda cross-border bond opens in... http://t.co/tSF941Y0Ga
26,0,15 year Treasury bond auction registers 234 pc performance... http://t.co/Cn9ANkYe5J
27,0,91 Days Treasury Bill Results...https://t.co/I6YUdwsLWl http://t.co/ayJMOJwMOM
28,0,Total share shrinks as small dealers turn tables on... http://t.co/au4LOEAKqJ
29,1,Ambani in fresh KES 189m Kenyan real estate... http://t.co/7RTIcSBmlH
30,0,HF gets KES 620mn credit facility for housing... http://t.co/XtDxlqC0kL
31,0,"Vimal Parmar, Head of Research at Burbidge Capital discusses new electricity tariffs on Kenya’s industrial users... http://t.co/Ua7MYVYItl"
32,0,"Facebook to Buy WhatsApp, a Messaging Start-Up, in a USD 16 Billion... http://t.co/NMMULZLK1h"
33,0,Uganda Bond Yields Climb to Two-Month High as Shilling Rallies.. http://t.co/m2N500palQ
34,0,Ethiopia: IFC Considering a USD 19M Financing of International Standard Hotel in Addis Ababa. http://t.co/gfCBkxrPDv
35,0,NSE holds ground against Africa... http://t.co/ah2uvvcroW
36,0,".Kenya Bourse Plans Derivatives, REITs to Boost Market... http://t.co/zJ8gtzPbqx"
37,0,182 and 364 Days Treasury Bill... http://t.co/C1bUiXTql8
38,0,Luxury brands target growing... http://t.co/409MQQh8mu
39,1,Real estate and stock market get lion’s share of... http://t.co/0LKkFreDh0
40,0,Real estate and stock market get lion’s share of... http://t.co/4Ytj6rF3JS
41,0,KK inks lucrative deal for training oil rig site... http://t.co/aSZSsZffo4
42,1,...Britam owners give nod to takeover dealhttp://tinyurl.com/oogga4e http://t.co/aTf8TAsuaD
43,0,Regional construction sector value to hit USD 9b in six years – new study....http://t.co/YkaO0QdkHI http://t.co/BEo90r8cbM
44,1,SABMiller Posts Robust Profits...http://t.co/jNckBvhyUC http://t.co/3fvy6ZREw9
45,1,CMC buyout ends as Al-Futtaim pays owners KES... http://t.co/3n4ZS8mT8m
46,1,Kenya could postpone borrowing from international money... http://t.co/WraYbZN3Sv
47,0,Tanzania Eurobond to be delayed if costs too... http://t.co/taWD7TXTnJ
48,0,Carlyle closes Africa fund after raising nearly USD 700... http://t.co/1kjUN4glJo
49,0,"The first live trade on Zambia’s new derivatives market took place on Tuesday, with BancABC, majority-owned by... http://t.co/MGTT0s6hVZ"
50,0,TPS profit up 35.4pc on higher... http://t.co/Xt7ZRrBd33
51,0,Confusion reigns over exit of France Telkom from... http://t.co/IWlbQIvvsy
52,1,Reinsurance firm plans new acquisitions to drive... http://t.co/qmraPbwSVl
53,1,NSE profit soars 210pc ahead of planned listing in... http://t.co/nz2wWEcuTp
54,0,Kenya To Commence Construction Of USD 14bn Railway... http://t.co/SQ70oRYDIl
55,0,Firm overseeing Konza works to finalise contract by May http://t.co/wyZMUc0IwX
56,0,Woolies eyes African expansion http://t.co/4X1dCBzGIN
57,0,Ventures Africa | Vivo Energy And Airtel Enter Distribution Partnership http://t.co/f72WKxO5yO
58,1,Google buys drone maker Titan Aerospace http://t.co/PLd8h55Lhr
59,1,Germany’s DEG buys into pan-African reinsurer Zep... http://t.co/Uwo5vMO1XO
60,0,Asian Paints subsidiary to acquire 51% stake in Kadisco Chemical... http://t.co/Zl52cvyIGh
61,0,Google buys drone maker Titan... http://t.co/JoaizXZBI6
62,1,SA’s Times Group acquires 49pc stake in Radio Africa for Kes... http://t.co/5BDUBLXDQj
63,1,Vivo Energy And Airtel Enter Distribution... http://t.co/XPxkW8wuu5
64,1,EAC law a boost for investment... http://t.co/lGPQYhmaAh
65,1,Region to record high economic... http://t.co/Js4DBz968V
66,0,Woolies eyes African expansion...http://t.co/TBx0aX1BWh http://t.co/7ABHn8Wy9X
67,0,German PE firm mulls takeover of Kenyan... http://t.co/1d3OtHF1CC
68,0,Firm overseeing Konza works to finalise contract by... http://t.co/kskx3pFlWr
69,0,Tanzania Launches First Ever Private Equity... http://t.co/sYyDgKQmAX
70,0,Foreign investors put more funds in NSE as confidence... http://t.co/win5Pzavqt
